VH_EFFECTIVE_DT,VH_AGE,VH_RET_AGE,VH_ANN_SAL,VH_MTHLY_SS_INCOME
1/1/2017 0:00,35,80,"60,000","2,620"
1/1/2017 0:00,35,80,"80,000","3,001"
1/1/2017 0:00,35,80,"100,000","3,311"
1/1/2017 0:00,35,80,"120,000","3,621"
1/1/2017 0:00,35,80,"127,200","3,732"
1/1/2017 0:00,35,85,"20,000","1,297"
1/1/2017 0:00,35,85,"40,000","1,958"
1/1/2017 0:00,35,85,"60,000","2,620"
1/1/2017 0:00,35,85,"80,000","3,001"
1/1/2017 0:00,35,85,"100,000","3,311"
1/1/2017 0:00,35,85,"120,000","3,621"
1/1/2017 0:00,35,85,"127,200","3,732"
1/1/2017 0:00,40,62,"20,000",710
1/1/2017 0:00,40,62,"40,000","1,066"
1/1/2017 0:00,40,62,"60,000","1,417"
1/1/2017 0:00,40,62,"80,000","1,664"
1/1/2017 0:00,40,62,"100,000","1,829"
1/1/2017 0:00,40,62,"120,000","1,994"
1/1/2017 0:00,40,62,"127,200","2,053"
1/1/2017 0:00,40,65,"20,000",890
1/1/2017 0:00,40,65,"40,000","1,342"
1/1/2017 0:00,40,65,"60,000","1,788"
1/1/2017 0:00,40,65,"80,000","2,083"
1/1/2017 0:00,40,65,"100,000","2,292"
1/1/2017 0:00,40,65,"120,000","2,501"
1/1/2017 0:00,40,65,"127,200","2,576"
1/1/2017 0:00,40,67,"20,000","1,035"
1/1/2017 0:00,40,67,"40,000","1,564"
1/1/2017 0:00,40,67,"60,000","2,086"
1/1/2017 0:00,40,67,"80,000","2,418"
1/1/2017 0:00,40,67,"100,000","2,663"
1/1/2017 0:00,40,67,"120,000","2,907"
1/1/2017 0:00,40,67,"127,200","2,995"
1/1/2017 0:00,40,70,"20,000","1,286"
1/1/2017 0:00,40,70,"40,000","1,936"
1/1/2017 0:00,40,70,"60,000","2,585"
1/1/2017 0:00,40,70,"80,000","2,979"
1/1/2017 0:00,40,70,"100,000","3,284"
1/1/2017 0:00,40,70,"120,000","3,589"
1/1/2017 0:00,40,70,"127,200","3,698"
1/1/2017 0:00,40,75,"20,000","1,297"
1/1/2017 0:00,40,75,"40,000","1,958"
1/1/2017 0:00,40,75,"60,000","2,620"
1/1/2017 0:00,40,75,"80,000","3,001"
1/1/2017 0:00,40,75,"100,000","3,311"
1/1/2017 0:00,40,75,"120,000","3,621"
1/1/2017 0:00,40,75,"127,200","3,732"
1/1/2017 0:00,40,80,"20,000","1,297"
1/1/2017 0:00,40,80,"40,000","1,958"
1/1/2017 0:00,40,80,"60,000","2,620"
1/1/2017 0:00,40,80,"80,000","3,001"
1/1/2017 0:00,40,80,"100,000","3,311"
1/1/2017 0:00,40,80,"120,000","3,621"
1/1/2017 0:00,40,80,"127,200","3,732"
1/1/2017 0:00,40,85,"20,000","1,297"
1/1/2017 0:00,40,85,"40,000","1,958"
1/1/2017 0:00,40,85,"60,000","2,620"
1/1/2017 0:00,40,85,"80,000","3,001"
1/1/2017 0:00,40,85,"100,000","3,311"
1/1/2017 0:00,40,85,"120,000","3,621"
1/1/2017 0:00,40,85,"127,200","3,732"
1/1/2017 0:00,45,62,"20,000",693
1/1/2017 0:00,45,62,"40,000","1,031"
1/1/2017 0:00,45,62,"60,000","1,364"
1/1/2017 0:00,45,62,"80,000","1,632"
1/1/2017 0:00,45,62,"100,000","1,788"
1/1/2017 0:00,45,62,"120,000","1,945"
1/1/2017 0:00,45,62,"127,200","2,001"
1/1/2017 0:00,45,65,"20,000",871
1/1/2017 0:00,45,65,"40,000","1,304"
1/1/2017 0:00,45,65,"60,000","1,732"
1/1/2017 0:00,45,65,"80,000","2,047"
1/1/2017 0:00,45,65,"100,000","2,248"
1/1/2017 0:00,45,65,"120,000","2,448"
1/1/2017 0:00,45,65,"127,200","2,520"
1/1/2017 0:00,45,67,"20,000","1,015"
1/1/2017 0:00,45,67,"40,000","1,525"
1/1/2017 0:00,45,67,"60,000","2,027"
1/1/2017 0:00,45,67,"80,000","2,381"
1/1/2017 0:00,45,67,"100,000","2,617"
1/1/2017 0:00,45,67,"120,000","2,852"
1/1/2017 0:00,45,67,"127,200","2,937"
1/1/2017 0:00,45,70,"20,000","1,266"
1/1/2017 0:00,45,70,"40,000","1,897"
1/1/2017 0:00,45,70,"60,000","2,527"
1/1/2017 0:00,45,70,"80,000","2,943"
1/1/2017 0:00,45,70,"100,000","3,238"
1/1/2017 0:00,45,70,"120,000","3,533"
1/1/2017 0:00,45,70,"127,200","3,640"
1/1/2017 0:00,45,75,"20,000","1,286"
1/1/2017 0:00,45,75,"40,000","1,936"
1/1/2017 0:00,45,75,"60,000","2,585"
1/1/2017 0:00,45,75,"80,000","2,979"
1/1/2017 0:00,45,75,"100,000","3,284"
1/1/2017 0:00,45,75,"120,000","3,589"
1/1/2017 0:00,45,75,"127,200","3,698"
1/1/2017 0:00,45,80,"20,000","1,297"
1/1/2017 0:00,45,80,"40,000","1,958"
1/1/2017 0:00,45,80,"60,000","2,620"
1/1/2017 0:00,45,80,"80,000","3,001"
1/1/2017 0:00,45,80,"100,000","3,311"
1/1/2017 0:00,45,80,"120,000","3,621"
1/1/2017 0:00,45,80,"127,200","3,732"
1/1/2017 0:00,45,85,"20,000","1,297"
1/1/2017 0:00,45,85,"40,000","1,958"
1/1/2017 0:00,45,85,"60,000","2,620"
1/1/2017 0:00,45,85,"80,000","3,001"
1/1/2017 0:00,45,85,"100,000","3,311"
1/1/2017 0:00,45,85,"120,000","3,621"
1/1/2017 0:00,45,85,"127,200","3,732"
1/1/2017 0:00,50,62,"20,000",672
1/1/2017 0:00,50,62,"40,000",989
1/1/2017 0:00,50,62,"60,000","1,302"
1/1/2017 0:00,50,62,"80,000","1,592"
1/1/2017 0:00,50,62,"100,000","1,739"
1/1/2017 0:00,50,62,"120,000","1,886"
1/1/2017 0:00,50,62,"127,200","1,938"
1/1/2017 0:00,50,65,"20,000",848
1/1/2017 0:00,50,65,"40,000","1,258"
1/1/2017 0:00,50,65,"60,000","1,661"
1/1/2017 0:00,50,65,"80,000","2,003"
1/1/2017 0:00,50,65,"100,000","2,193"
1/1/2017 0:00,50,65,"120,000","2,382"
1/1/2017 0:00,50,65,"127,200","2,450"
1/1/2017 0:00,50,67,"20,000",990
1/1/2017 0:00,50,67,"40,000","1,475"
1/1/2017 0:00,50,67,"60,000","1,952"
1/1/2017 0:00,50,67,"80,000","2,334"
